model: FaultSeg3dPlus
shape                             voxels                 GPU              time                  GPU2                  time2
[896, 896, 896],             719323136                                                          35.89                 19.6677
[896, 896, 960],             770703360                                                          38.28                 21.2864
[896, 960, 960],             825753600                                                          40.85                 22.5684
[960, 960, 960],             884736000                                                          43.59                 24.3165
[960, 960, 1024],            943718400                                                          46.34                 25.7278
[960, 1024, 1024],           1006632960                                                         49.27                 27.4792
[1024, 1024, 1024],          1073741824                                                         52.40                 29.2016
[1024, 1024, 1088],          1140850688                                                         55.52                 31.0389
[1024, 1088, 1088],          1212153856                                                         58.84                 33.0021
[1088, 1088, 1088],          1287913472                                                         62.37                 35.5295
[1088, 1088, 1152],          1363673088                                                         65.90                 37.7058
[1088, 1152, 1152],          1443889152                                                         69.63                 39.5416
[1152, 1152, 1152],          1528823808                                                         73.59                 41.8380
[1152, 1152, 1216],          1613758464                                                         77.54                 44.2912
[1152, 1216, 1216],          1703411712                                                         81.72                 46.6865
[1216, 1216, 1216],          1798045696                                                         86.12                 49.0801
[1216, 1216, 1280],          1892679680                                                         90.53                 51.5940
[1216, 1280, 1280],          1992294400                                                         95.17                 54.3464
[1280, 1280, 1280],          2097152000                                                         
[1280, 1280, 1344],          2202009600                                                         
[1280, 1344, 1344],          2312110080                                                         
[1344, 1344, 1344],          2427715584                                                         
[1344, 1344, 1408],          2543321088                                                         
[1344, 1408, 1408],          2664431616                                                         
[1408, 1408, 1408],          2791309312                                                         
[1408, 1408, 1472],          2918187008                                                         
[1408, 1472, 1472],          3050831872                                                         
[1472, 1472, 1472],          3189506048                                                         
[1472, 1472, 1532],          3319513088                                                         
[1472, 1532, 1532],          3454819328
[1532, 1532, 1532],          3595640768
[1532, 1532, 1600],          3755238400
[1532, 1600, 1600],          3921920000
[1600, 1600, 1600],          4096000000



model: gem-base32
shape                             voxels                 GPU              time                  GPU2                  time2                  GPU3                time3                   GPU4                  time4                      
[256, 256, 256],             16777216                    5.66            0.7198                 5.66                  0.7311                 4.75                0.9251                  -1                    -1
[256, 256, 320],             20971520                    6.77            0.8481                 6.77                  0.7318                 5.35                1.0240                  -1                    -1
[256, 320, 320],             26214400                    8.16            0.8762                 8.16                  0.8112                 6.37                1.0654                  -1                    -1
[320, 320, 320],             32768000                    9.90            0.9324                 9.90                  0.9085                 7.88                1.3172                  -1                    -1
[320, 320, 384],             39321600                    11.64           0.9766                 11.64                 1.1021                 9.19                1.4672                  -1                    -1
[320, 384, 384],             47185920                    13.72           1.2679                 13.72                 1.2381                 10.77               1.7262                  -1                    -1
[384, 384, 384],             56623104                    16.23           1.3078                 16.23                 1.3684                 12.23               1.8353                  -1                    -1
[384, 384, 448],             66060288                    18.74           1.5407                 18.74                 1.4890                 14.04               2.1006                  -1                    -1
[384, 448, 448],             77070336                    21.66           1.5722                 21.66                 1.6264                 16.15               2.3595                  -1                    -1
