4, [1088, 1088, 1088], 32.83, 9.0934
4, [1088, 1088, 1152], 34.67, 9.5797
4, [1088, 1152, 1152], 36.60, 10.0933
4, [1152, 1152, 1152], 38.66, 10.8444
4, [1152, 1152, 1216], 40.72, 11.2518
4, [1152, 1216, 1216], 42.89, 11.8612
4, [1216, 1216, 1216], 45.18, 12.4794
4, [1216, 1216, 1280], 47.47, 13.1470
4, [1216, 1280, 1280], 49.88, 13.7728
4, [1280, 1280, 1280], 52.42, 14.4984
4, [1280, 1280, 1344], 54.96, 15.1525
4, [1280, 1344, 1344], 57.63, 15.9884
4, [1344, 1344, 1344], 60.43, 16.7598
4, [1344, 1344, 1408], 63.23, 17.4712
4, [1344, 1408, 1408], 66.16, 18.3018
4, [1408, 1408, 1408], 69.23, 19.2418
4, [1408, 1408, 1472], 72.30, 20.0569
4, [1408, 1472, 1472], 75.52, 20.9671
4, [1472, 1472, 1472], 78.88, 22.0477
4, [1472, 1472, 1532], 81.96, 22.7315
4, [1472, 1532, 1532], 85.17, 23.5924
4, [1532, 1532, 1532], 88.51, 24.4233
4, [1532, 1532, 1600], 92.43, 25.6438
